Genus species,ETS,GBSSI,ITS,matK,PHYA,PHYB,psbA,rbcL,rpl32,rps2
Aeginetia indica,-,-,AY596819,-,AM233920,KC542196,-,-,-,-
Agalinis acuta,-,-,EU827814,AY563908,-,-,-,AY563943,-,EU827967
Agalinis aphylla,-,-,EU827819,AY563911,-,-,EU827891,AY563939,-,EU827974
Agalinis aspera,-,-,-,-,-,-,-,MG221654,-,-
Agalinis auriculata,-,-,EU827821,AY563917,-,-,EU827893,AY563938,-,EU827976
Agalinis calycina,-,-,-,GU943670,-,-,EU827895,EU828219,-,EU827978
Agalinis decemloba,-,-,EU827826,GU943673,-,-,-,EU828220,-,EU827982
Agalinis divaricata,-,-,EU827827,AY563906,-,-,EU827902,AY563946,-,EU827984
Agalinis edwardsiana,-,-,EU827829,-,-,-,EU827903,EU828221,-,EU827986
Agalinis fasciculata,-,-,EU827830,GU943677,AM233921,KC542197,EU827904,AY563944,-,EU827988
Agalinis filicaulis,-,-,EU827833,AY563919,-,-,EU827907,AY563937,-,EU827991
Agalinis gattingeri,-,-,EU827823,AY563907,-,-,EU827909,EU828224,-,EU827992
Agalinis georgiana,-,-,-,GU943683,-,-,-,KX397683,-,-
Agalinis harperi,-,-,EU827837,GU943686,-,-,EU827912,EU828226,-,EU827995
Agalinis heterophylla,-,-,EU827839,AY563918,-,-,EU827914,AY563934,-,EU827979
Agalinis homalantha,-,-,EU827840,GU943690,-,-,EU827916,EU828228,-,EU828000
Agalinis laxa,-,-,EU827842,GU943692,-,-,EU827918,EU828229,-,EU828001
Agalinis linifolia,-,-,EU827844,AY563923,-,-,EU827920,AY563949,-,EU828004
Agalinis maritima,-,-,EU827824,GU943696,-,-,EU827897,GU943612,-,EU828005
Agalinis navasotensis,-,-,EU827848,GU943699,-,-,EU827923,EU828232,-,EU828006
Agalinis neoscotica,-,-,-,-,-,-,-,MG223836,-,-
Agalinis obtusifolia,-,-,EU827851,AY563910,-,-,EU827925,AY563950,-,EU828008
Agalinis oligophylla,-,-,-,GU943710,-,-,EU827932,EU828235,-,EU828012
Agalinis paupercula,-,-,EU827853,GU943713,-,-,EU827935,GU943626,-,EU828017
Agalinis plukenetii,-,-,EU827855,AY563915,-,-,EU827937,AY563933,-,EU828018
Agalinis pulchella,-,-,EU827857,AY563912,-,-,EU827939,AY563935,-,EU828021
Agalinis purpurea,-,-,EU827858,JX091307,AM233922,KC542198,EU827941,EU828238,-,EU828022
Agalinis setacea,-,-,EU827862,AY563914,-,-,EU827945,AY563941,-,EU828027
Agalinis skinneriana,-,-,EU827864,GU943724,-,-,EU827948,EU828239,-,EU828029
Agalinis strictifolia,-,-,EU827867,AY563913,-,-,EU827898,AY563945,-,EU828031
Agalinis tenella,-,-,EU827850,AY563909,-,-,-,AY563948,-,EU828009
Agalinis tenuifolia,-,-,EU827875,AY563916,-,-,EU827958,AY563936,-,EU828039
Agalinis viridis,-,-,EU827876,GU943740,-,-,EU827959,EU828242,-,EU828041
Alectra aspera,-,-,EU253608,FR728637,-,-,-,-,-,-
Alectra aurantiaca,-,-,EU253618,-,-,-,-,-,-,-
Alectra capensis,-,-,EU253623,MG546863,-,-,-,-,-,-
Alectra fruticosa,-,-,EU253613,-,-,-,-,MG546904,-,MG546996
Alectra humbertii,-,-,EU253624,-,-,-,-,-,-,-
Alectra orobanchoides,-,-,EU253620,-,-,-,-,-,-,-
Alectra rigida,-,-,EU253621,AF489960,-,-,-,AF026819,-,U48741
Alectra sessiliflora,-,-,FJ790060,-,-,-,-,-,-,-
Alectra stricta,-,-,EU253619,AF051977,AM233924,KC542199,-,DQ017785,-,U48742
